Date,Minimum Temperature,Maximum Temperature,Temperature
2018-04-17,5.28,7.78,6.44
2018-04-18,3.61,11.83,7.33
2018-04-19,4.78,9.56,7.06
2018-04-20,3.11,10.72,6.33
2018-04-21,4.72,16.33,10.22
2018-04-22,7.11,17.17,11.94
2018-04-23,7.67,15.89,11.56
2018-04-24,9.33,16.0,12.56
2018-04-25,11.72,14.44,12.89
2018-04-26,11.22,20.67,15.5
2018-04-27,10.67,15.06,12.39
2018-04-28,10.06,18.33,13.44
2018-04-29,8.83,16.56,12.0
2018-04-30,8.33,10.67,9.56
2018-05-01,8.83,26.61,17.28
2018-05-02,16.72,29.39,23.5
2018-05-03,21.67,33.33,26.67
2018-05-04,22.83,28.83,25.22
2018-05-05,16.17,25.06,20.56
2018-05-06,13.83,18.83,16.89
2018-05-07,12.17,23.83,17.06
2018-05-08,11.67,22.83,16.44
2018-05-09,12.17,24.33,17.22
2018-05-10,12.17,18.33,15.44
2018-05-11,15.67,22.17,18.28
2018-05-12,12.11,18.33,14.28
2018-05-13,11.61,12.83,12.0
2018-05-14,11.17,20.67,14.89
2018-05-15,15.11,31.17,20.22
2018-05-16,13.83,18.33,16.44
2018-05-17,13.33,20.67,16.33
2018-05-18,13.83,18.33,16.61
2018-05-19,10.61,13.83,12.72
2018-05-20,13.83,27.83,21.44
2018-05-21,16.11,24.39,19.83
2018-05-22,14.33,18.83,16.61
2018-05-23,14.39,28.28,20.61
2018-05-24,18.83,27.83,22.89
2018-05-25,17.22,29.33,23.78
2018-05-26,21.67,31.17,25.72
2018-05-27,14.33,25.11,18.28
2018-05-28,13.33,20.67,16.22
2018-05-29,16.67,31.17,23.17
2018-05-30,15.67,22.94,19.67
2018-05-31,17.83,20.06,18.67
2018-06-01,17.89,26.61,21.61
2018-06-02,20.67,30.61,25.11
2018-06-03,12.78,21.61,16.94
2018-06-04,10.67,23.78,16.78
2018-06-05,16.11,24.28,19.83
2018-06-06,16.11,21.61,18.06
2018-06-07,16.11,21.67,18.0
2018-06-08,16.17,27.11,21.78
2018-06-09,20.61,28.78,23.5
2018-06-10,16.61,22.11,20.17
2018-06-11,14.39,22.83,17.83
2018-06-12,14.33,22.89,18.56
2018-06-13,17.83,24.39,20.89
2018-06-14,19.39,30.56,24.83
2018-06-15,18.33,24.94,21.67
2018-06-16,17.83,29.33,23.33
2018-06-17,19.33,31.61,25.06
2018-06-18,21.67,32.17,26.33
2018-06-19,23.39,32.06,27.33
2018-06-20,21.61,27.78,24.22
2018-06-21,18.83,30.0,23.94
2018-06-22,19.39,23.83,21.17
2018-06-23,17.83,20.0,18.83
2018-06-24,19.33,28.78,23.56
2018-06-25,20.61,28.78,24.06
2018-06-26,18.78,25.0,21.78
2018-06-27,18.89,23.28,21.11
2018-06-28,21.11,28.83,24.0
2018-06-29,22.83,33.78,27.72
2018-06-30,23.33,34.28,28.67
2018-07-01,23.94,35.61,29.78
2018-07-02,25.67,34.39,29.11
2018-07-03,25.11,32.89,27.22
2018-07-04,24.39,30.56,26.78
2018-07-05,23.89,31.17,27.44
2018-07-06,23.33,27.78,25.56
2018-07-07,18.78,25.61,21.56
2018-07-08,18.78,28.33,22.83
2018-07-09,20.06,30.61,24.78
2018-07-10,21.67,33.33,27.33
2018-07-11,23.33,31.11,26.44
2018-07-12,21.56,29.94,24.67
2018-07-13,21.11,29.28,24.56
2018-07-14,21.17,31.61,26.39
2018-07-15,21.17,29.94,24.28
2018-07-16,23.89,32.11,27.61
2018-07-17,22.11,31.56,25.61
2018-07-18,21.11,28.78,24.83
2018-07-19,19.33,27.83,23.22
2018-07-20,20.67,27.83,23.39
2018-07-21,18.33,25.06,21.72
2018-07-22,19.33,25.67,23.39
2018-07-23,22.83,26.17,24.44
2018-07-24,23.83,27.17,25.44
2018-07-25,22.83,25.06,24.17
2018-07-26,22.17,28.33,25.33
2018-07-27,20.67,29.33,25.28
2018-07-28,21.17,28.83,24.89
2018-07-29,21.67,27.17,24.5
2018-07-30,20.06,25.67,23.0
2018-07-31,20.06,27.17,23.17
2018-08-01,23.33,28.33,25.83
2018-08-02,24.33,30.61,27.22
2018-08-03,23.83,29.28,26.28
2018-08-04,23.83,32.0,26.78
2018-08-05,24.33,33.78,29.0
2018-08-06,25.67,33.83,29.39
2018-08-07,24.33,32.72,27.89
2018-08-08,24.33,33.28,27.83
2018-08-09,24.33,32.72,28.5
2018-08-10,24.28,32.06,27.44
2018-08-11,22.11,26.61,24.0
2018-08-12,23.33,30.56,25.78
2018-08-13,21.78,26.0,23.61
2018-08-14,20.67,29.22,24.0
2018-08-15,21.61,32.72,26.94
2018-08-16,24.33,33.28,28.67
2018-08-17,24.94,32.06,28.11
2018-08-18,23.33,31.06,25.83
2018-08-19,21.11,23.33,22.5
2018-08-20,21.11,23.83,22.44
2018-08-21,20.61,26.11,23.06
2018-08-22,22.83,30.5,25.56
2018-08-23,20.61,27.72,24.06
2018-08-24,20.56,29.94,24.72
2018-08-25,21.11,27.78,24.17
2018-08-26,21.11,29.94,25.22
2018-08-27,23.33,32.06,27.72
2018-08-28,25.67,35.56,30.11
2018-08-29,26.67,34.94,30.61
2018-08-30,26.61,33.22,29.67
2018-08-31,22.78,27.11,24.22
2018-09-01,21.17,26.11,23.22
2018-09-02,21.61,28.78,24.72
2018-09-03,24.33,32.17,27.89
2018-09-04,26.11,34.28,29.67
2018-09-05,25.61,32.78,28.22
2018-09-06,25.56,34.33,28.44
2018-09-07,22.11,25.56,24.33
2018-09-08,18.78,22.78,21.22
2018-09-09,13.33,18.78,16.78
2018-09-10,12.83,18.83,16.89
2018-09-11,18.28,25.56,21.33
2018-09-12,22.83,25.61,23.72
2018-09-13,20.67,26.56,22.83
2018-09-14,21.11,25.0,22.67
2018-09-15,21.11,26.17,22.83
2018-09-16,20.61,28.78,24.28
2018-09-17,20.67,25.06,23.06
2018-09-18,21.67,26.11,23.83
2018-09-19,21.61,29.28,24.39
2018-09-20,18.83,23.28,20.83
2018-09-21,20.61,23.33,21.72
2018-09-22,19.28,23.78,22.28
2018-09-23,17.17,20.0,18.44
2018-09-24,13.83,21.56,17.78
2018-09-25,16.11,23.33,19.67
2018-09-26,22.11,29.94,24.72
2018-09-27,18.28,24.94,20.83
2018-09-28,15.56,20.0,17.39
2018-09-29,15.61,24.89,19.56
2018-09-30,15.5,22.78,19.33
2018-10-01,18.33,25.61,21.33
2018-10-02,19.33,25.61,22.83
2018-10-03,18.33,26.0,21.28
2018-10-04,17.78,25.61,21.61
2018-10-05,17.78,22.83,20.0
2018-10-06,18.33,20.0,19.11
2018-10-07,20.61,28.72,23.17
2018-10-08,17.83,23.33,20.06
2018-10-09,19.33,25.61,22.28
2018-10-10,21.17,28.28,23.33
2018-10-11,21.17,25.0,22.61
2018-10-12,13.28,21.17,17.22
2018-10-13,9.94,16.06,12.72
2018-10-14,10.61,15.61,13.17
2018-10-15,13.78,20.06,16.94
2018-10-16,10.0,18.33,12.89
2018-10-17,9.33,18.28,13.11
2018-10-18,7.11,13.72,9.83
2018-10-19,6.67,16.11,11.5
2018-10-20,12.17,17.78,14.78
2018-10-21,6.11,12.83,9.78
2018-10-22,5.0,11.61,8.56
2018-10-23,9.33,19.94,13.5
2018-10-24,8.83,14.28,10.89
2018-10-25,6.61,13.72,8.94
2018-10-26,5.56,10.61,8.06
2018-10-27,7.83,11.61,9.72
2018-10-28,8.33,11.61,10.11
2018-10-29,10.0,15.56,12.06
2018-10-30,6.61,16.06,10.78
2018-10-31,8.33,19.28,13.61
2018-11-01,13.39,21.11,17.11
2018-11-02,17.83,21.17,19.33
2018-11-03,10.61,18.33,14.33
2018-11-04,7.78,15.56,10.94
2018-11-05,9.33,12.11,11.11
2018-11-06,11.11,15.61,12.94
2018-11-07,11.61,17.83,14.56
2018-11-08,7.83,16.0,11.61
2018-11-09,7.17,11.61,9.78
2018-11-10,3.33,11.11,7.44
2018-11-11,1.61,10.56,5.61
2018-11-12,3.83,10.61,7.22
2018-11-13,6.17,11.56,9.11
2018-11-14,2.06,7.06,4.56
2018-11-15,0.56,3.33,1.89
2018-11-16,3.28,6.67,5.11
2018-11-17,3.33,8.33,5.94
2018-11-18,3.83,7.11,5.61
2018-11-19,5.06,10.61,8.0
2018-11-20,5.0,9.28,7.0
2018-11-21,-1.5,6.67,3.78
2018-11-22,-7.17,-2.22,-4.44
2018-11-23,-9.33,1.56,-2.5
2018-11-24,0.0,9.33,4.94
2018-11-25,7.83,14.94,10.83
2018-11-26,8.83,11.67,9.83
2018-11-27,3.33,8.33,6.0
2018-11-28,3.33,6.11,4.72
2018-11-29,4.33,8.78,6.17
2018-11-30,3.83,5.67,4.78
2018-12-01,4.28,8.83,6.06
2018-12-02,6.11,12.89,9.67
2018-12-03,7.83,12.83,11.06
2018-12-04,1.61,7.83,4.94
2018-12-05,-0.06,3.83,1.94
2018-12-06,-0.67,5.67,2.5
2018-12-07,-0.67,6.06,3.0
2018-12-08,-2.89,3.78,0.06
2018-12-09,-0.67,2.83,1.06
2018-12-10,0.0,6.56,2.61
2018-12-11,0.56,6.56,2.72
2018-12-12,1.11,6.11,3.17
2018-12-13,1.61,5.61,3.39
2018-12-14,5.0,10.06,8.11
2018-12-15,7.89,10.67,9.5
2018-12-16,3.28,8.33,5.22
2018-12-17,3.83,9.28,5.83
2018-12-18,-1.17,5.06,2.39
2018-12-19,-1.72,6.61,2.0
2018-12-20,3.33,10.56,5.94
2018-12-21,11.17,14.39,12.94
2018-12-22,5.61,11.17,8.06
2018-12-23,3.33,8.28,5.28
2018-12-24,2.83,7.11,4.44
2018-12-25,1.17,6.56,3.33
2018-12-26,0.06,7.78,3.89
2018-12-27,4.33,8.28,5.61
2018-12-28,6.17,15.06,10.67
2018-12-29,5.61,12.89,9.89
2018-12-30,2.11,5.0,3.67
2018-12-31,3.33,7.22,5.67
