Pickup_Date,trip_distance_km,duration_seconds,avg_speed,pickup_hour,Minimum Temperature,Maximum Temperature,Temperature,tip_amount,PULocationID
2017-06-03,1.609344,331,17.503439274924474,16,14.33,24.94,19.28,1.25,100
2017-06-03,3.9428928000000005,689,20.601471814223515,13,14.33,24.94,19.28,1.5,50
2017-06-03,3.3796224000000006,714,17.040112941176474,12,14.33,24.94,19.28,2.15,151
2017-06-03,9.8169984,1053,33.562387692307695,5,14.33,24.94,19.28,4.15,249
2017-06-03,4.409602560000001,747,21.2510966746988,23,14.33,24.94,19.28,1.25,48
2017-06-03,7.081113600000001,1496,17.040112941176474,18,14.33,24.94,19.28,3.85,13
2017-06-03,2.7680716800000003,468,21.29285907692308,8,14.33,24.94,19.28,2.9,236
2017-06-03,3.5083699200000007,951,13.280895596214513,19,14.33,24.94,19.28,2.46,90
2017-06-03,29.57974272,2900,36.71968061793103,12,14.33,24.94,19.28,11.71,142
2017-06-03,5.84191872,1171,17.959784280102475,10,14.33,24.94,19.28,4.31,25
2017-06-03,1.2874752000000003,309,14.999711067961167,11,14.33,24.94,19.28,1.25,90
2017-06-03,1.7702784000000003,383,16.639692532637078,3,14.33,24.94,19.28,1.0,144
2017-06-03,1.14263424,483,8.516528496894411,15,14.33,24.94,19.28,1.46,234
2017-06-03,6.3890956800000005,1124,20.46329577224199,22,14.33,24.94,19.28,2.0,234
2017-06-03,3.7014912,661,20.159407443267774,14,14.33,24.94,19.28,2.8,246
2017-06-03,2.5105766400000005,715,12.640665600000002,16,14.33,24.94,19.28,1.96,142
2017-06-03,7.2420480000000005,1532,17.01786736292428,0,14.33,24.94,19.28,4.15,148
2017-06-03,6.5178432,835,28.100880862275446,5,14.33,24.94,19.28,2.0,24
2017-06-03,2.414016,469,18.529760341151388,7,14.33,24.94,19.28,1.65,236
2017-06-03,0.38624256,57,24.394266947368422,8,14.33,24.94,19.28,0.7,239
2017-06-03,1.4484096000000002,559,9.32786146690519,17,14.33,24.94,19.28,1.66,140
2017-06-03,3.18650112,808,14.19728221782178,22,14.33,24.94,19.28,2.12,142
2017-06-03,2.414016,445,19.529118202247194,15,14.33,24.94,19.28,2.0,239
2017-06-03,1.9312128,382,18.19991120418848,10,14.33,24.94,19.28,1.36,163
2017-06-03,3.7014912,657,20.282143561643835,9,14.33,24.94,19.28,2.25,113
2017-06-03,1.33575552,163,29.50134890797546,19,14.33,24.94,19.28,1.06,239
2017-06-03,3.7014912,674,19.770576142433235,10,14.33,24.94,19.28,2.25,4
2017-06-03,1.0138867200000001,232,15.73272496551724,12,14.33,24.94,19.28,1.06,170
2017-06-03,8.5295232,1096,28.01668204379562,1,14.33,24.94,19.28,3.85,158
2017-06-03,2.2530816,540,15.020543999999997,9,14.33,24.94,19.28,2.2,87
2017-06-03,3.83023872,937,14.715965199573107,19,14.33,24.94,19.28,2.46,13
2017-06-03,2.7358848,514,19.16183906614786,3,14.33,24.94,19.28,1.0,148
2017-06-03,4.007266560000001,432,33.393888000000004,1,14.33,24.94,19.28,2.0,107
2017-06-03,4.1038272,626,23.60028421725239,0,14.33,24.94,19.28,2.26,48
2017-06-03,0.51499008,109,17.008846678899083,12,14.33,24.94,19.28,0.86,68
2017-06-03,3.5405568000000005,654,19.489303486238533,9,14.33,24.94,19.28,2.15,249
2017-06-03,2.8968192000000004,607,17.180476309719936,1,14.33,24.94,19.28,2.05,79
2017-06-03,31.768450559999998,2726,41.9539332413793,23,14.33,24.94,19.28,5.0,132
2017-06-03,11.21712768,2187,18.464407703703706,23,14.33,24.94,19.28,8.64,143
2017-06-03,1.7219980800000003,398,15.575862030150754,21,14.33,24.94,19.28,1.17,113
2017-06-03,4.32913536,938,16.615018439232408,13,14.33,24.94,19.28,1.5,141
2017-06-03,3.8624256,483,28.788265341614906,23,14.33,24.94,19.28,1.0,229
2017-06-03,3.0577536,650,16.935250707692305,21,14.33,24.94,19.28,2.05,125
2017-06-03,1.609344,343,16.891074052478135,17,14.33,24.94,19.28,1.36,238
2017-06-03,2.0921472000000003,379,19.87263831134565,16,14.33,24.94,19.28,1.45,113
2017-06-03,1.4484096000000002,256,20.368260000000003,18,14.33,24.94,19.28,0.94,107
2017-06-03,2.1565209600000004,371,20.925809854447444,6,14.33,24.94,19.28,0.7,142
2017-06-03,5.3108352,1528,12.512438952879581,19,14.33,24.94,19.28,3.55,163
2017-06-03,2.26917504,417,19.59000034532374,22,14.33,24.94,19.28,1.66,114
